Date,victories,matches_played,friendly_matches
1914-01-01,1,2,1
1915-01-01,0,0,0
1916-01-01,2,5,1
1917-01-01,1,4,0
1918-01-01,0,0,0
1919-01-01,3,5,0
1920-01-01,1,4,1
1921-01-01,1,3,0
1922-01-01,4,7,0
1923-01-01,2,6,0
1924-01-01,0,0,0
1925-01-01,2,4,0
1926-01-01,0,0,0
1927-01-01,0,0,0
1928-01-01,0,0,0
1929-01-01,0,0,0
1930-01-01,3,4,1
1931-01-01,1,1,0
1932-01-01,1,1,0
1933-01-01,0,0,0
1934-01-01,0,2,1
1935-01-01,0,0,0
1936-01-01,1,1,0
1937-01-01,3,5,0
1938-01-01,3,5,0
1939-01-01,1,2,0
1940-01-01,1,7,0
1941-01-01,0,0,0
1942-01-01,3,6,0
1943-01-01,0,0,0
1944-01-01,2,2,2
1945-01-01,7,9,0
1946-01-01,3,7,0
1947-01-01,1,3,0
1948-01-01,0,1,0
1949-01-01,7,8,0
1950-01-01,7,11,0
1951-01-01,0,0,0
1952-01-01,4,5,0
1953-01-01,4,7,0
1954-01-01,5,7,0
1955-01-01,2,4,0
1956-01-01,14,25,11
1957-01-01,8,14,2
1958-01-01,8,10,2
1959-01-01,10,15,2
1960-01-01,11,16,4
1961-01-01,5,5,1
1962-01-01,13,15,4
1963-01-01,7,18,9
1964-01-01,3,4,1
1965-01-01,7,10,9
1966-01-01,9,15,8
1967-01-01,1,4,1
1968-01-01,13,20,14
1969-01-01,9,9,3
1970-01-01,12,15,8
1971-01-01,2,7,5
1972-01-01,4,5,1
1973-01-01,7,10,9
1974-01-01,9,16,9
1975-01-01,5,6,0
1976-01-01,10,11,3
1977-01-01,7,13,7
1978-01-01,7,12,5
1979-01-01,7,11,5
1980-01-01,6,8,8
1981-01-01,12,16,9
1982-01-01,8,11,6
1983-01-01,5,14,5
1984-01-01,1,3,3
1985-01-01,6,11,7
1986-01-01,8,12,7
1987-01-01,6,10,6
1988-01-01,5,7,3
1989-01-01,14,22,9
1990-01-01,4,11,7
1991-01-01,7,14,7
1992-01-01,7,10,8
1993-01-01,9,21,6
1994-01-01,11,13,6
1995-01-01,15,19,10
1996-01-01,8,11,7
1997-01-01,20,24,9
1998-01-01,11,18,6
1999-01-01,14,20,9
2000-01-01,8,13,2
2001-01-01,8,20,3
2002-01-01,13,15,8
2003-01-01,8,17,5
2004-01-01,10,18,4
2005-01-01,10,16,3
2006-01-01,10,12,7
2007-01-01,12,18,8
2008-01-01,6,11,5
2009-01-01,14,17,4
2010-01-01,9,12,7
2011-01-01,9,16,10
2012-01-01,9,13,11
2013-01-01,13,19,14
2014-01-01,13,16,8
2015-01-01,10,14,6
2016-01-01,8,12,1
2017-01-01,7,11,4
2018-01-01,13,15,9
2019-01-01,9,16,9
2020-01-01,4,4,0
2021-01-01,12,16,0
2022-01-01,10,13,3
