Date,target_open,close_lag_1,volume_lag_1
2015-04-02,40.66,40.72,36865322
2015-04-06,40.34,40.29,37487476
2015-04-07,41.61,41.55,39223692
2015-04-08,41.48,41.53,28809375
2015-04-09,41.25,41.42,24753438
2015-04-10,41.63,41.48,25723861
2015-04-13,41.4,41.72,28022002
2015-04-14,41.8,41.76,30276692
2015-04-15,41.76,41.65,24244382
2015-04-16,41.95,42.26,27343581
2015-04-17,41.67,42.16,22509652
2015-04-20,41.73,41.62,42387608
2015-04-21,43.0,42.91,46057733
2015-04-22,42.67,42.64,26013844
2015-04-23,42.85,42.99,25064273
2015-04-24,45.66,43.34,46309530
2015-04-27,47.23,47.87,130933665
2015-04-28,47.78,48.03,59248172
2015-04-29,48.72,49.16,60730778
2015-04-30,48.7,49.06,47804562
2015-05-01,48.58,48.64,64725457
2015-05-04,48.37,48.66,38937336
2015-05-05,47.82,48.24,34039485
2015-05-06,47.57,47.6,50369191
2015-05-07,46.27,46.28,52433020
2015-05-08,47.55,46.7,32971654
2015-05-11,47.55,47.75,35364911
2015-05-12,46.85,47.37,24609416
2015-05-13,48.19,47.35,29928264
2015-05-14,48.03,47.63,34184613
2015-05-15,48.87,48.72,32980892
2015-05-18,47.98,48.3,28642694
2015-05-19,47.62,48.01,24136502
2015-05-20,47.39,47.58,28574813
2015-05-21,47.28,47.58,25047919
2015-05-22,47.3,47.42,22410698
2015-05-26,46.83,46.9,25720583
2015-05-27,46.82,46.59,29581860
2015-05-28,47.5,47.61,27335639
2015-05-29,47.43,47.45,19283666
2015-06-01,47.06,46.86,36519594
2015-06-02,46.95,47.23,28837332
2015-06-03,47.37,46.92,21498326
2015-06-04,46.79,46.85,28002154
2015-06-05,46.31,46.36,27745512
2015-06-08,46.3,46.14,25438086
2015-06-09,45.76,45.73,22121634
2015-06-10,45.79,45.65,24406057
2015-06-11,46.66,46.61,28417405
2015-06-12,46.2,46.44,27347758
2015-06-15,45.45,45.97,23930972
2015-06-16,45.35,45.48,33254517
2015-06-17,45.73,45.83,27070306
2015-06-18,46.22,45.97,28704061
2015-06-19,46.79,46.72,32658343
2015-06-22,46.33,46.1,63837036
2015-06-23,46.13,46.23,20318055
2015-06-24,45.68,45.91,25896473
2015-06-25,46.03,45.64,34890901
2015-06-26,45.65,45.65,20615995
2015-06-29,45.04,45.26,49835287
2015-06-30,44.71,44.37,34081746
2015-07-01,44.49,44.15,35945384
2015-07-02,44.48,44.45,28343907
2015-07-06,43.96,44.4,21752013
2015-07-07,44.34,44.39,23033961
2015-07-08,44.44,44.3,36435827
2015-07-09,44.75,44.24,39785901
2015-07-10,45.01,44.52,32424672
2015-07-13,44.98,44.61,25465757
2015-07-14,45.45,45.54,28178329
2015-07-15,45.68,45.62,22880260
2015-07-16,46.01,45.76,26629615
2015-07-17,46.55,46.66,26271673
2015-07-20,46.65,46.62,29467107
2015-07-21,46.78,46.92,30631905
2015-07-22,45.44,47.28,42781899
2015-07-23,45.27,45.54,59152427
2015-07-24,45.91,46.11,33934010
2015-07-27,45.94,45.94,32333244
2015-07-28,45.58,45.35,39701420
2015-07-29,45.4,45.34,34328948
2015-07-30,46.26,46.29,40945864
2015-07-31,47.29,46.88,39777883
2015-08-03,46.98,46.7,31201480
2015-08-04,46.75,46.81,24125886
2015-08-05,47.98,47.54,33403916
2015-08-06,47.71,47.58,26959655
2015-08-07,46.39,46.62,27368000
2015-08-10,46.95,46.74,19163038
2015-08-11,46.82,47.33,23079870
2015-08-12,46.19,46.41,29237402
2015-08-13,47.06,46.74,30198532
2015-08-14,46.53,46.73,22627241
2015-08-17,46.81,47.0,21473402
2015-08-18,46.84,47.32,21099746
2015-08-19,46.78,47.27,23574104
2015-08-20,46.07,46.61,31485511
2015-08-21,45.3,45.66,36238227
2015-08-24,40.45,43.07,70053084
2015-08-25,42.57,41.68,88753660
2015-08-26,42.01,40.47,70616597
2015-08-27,43.23,42.71,63407996
2015-08-28,43.4,43.9,50943211
2015-08-31,43.56,43.93,28246725
2015-09-01,42.17,43.52,34441662
2015-09-02,42.36,41.82,49688896
2015-09-03,43.41,43.36,37671518
2015-09-04,42.81,43.5,28285205
2015-09-08,43.3,42.61,37138775
2015-09-09,44.21,43.89,32469766
2015-09-10,43.12,43.07,33469485
2015-09-11,43.14,43.29,31366630
2015-09-14,43.43,43.48,27132527
2015-09-15,43.19,43.04,23656048
2015-09-16,43.97,43.98,28882206
2015-09-17,44.29,44.3,23372162
2015-09-18,43.5,44.25,32768161
2015-09-21,43.62,43.48,63143684
2015-09-22,43.38,44.11,26177224
2015-09-23,43.93,43.9,28085903
2015-09-24,43.45,43.87,17145238
2015-09-25,44.48,43.91,27905607
2015-09-28,43.83,43.94,29384601
2015-09-29,43.37,43.29,27613785
2015-09-30,43.88,43.44,32763557
2015-10-01,44.75,44.26,34958880
2015-10-02,44.27,44.61,28657859
2015-10-05,45.75,45.57,41839035
2015-10-06,46.33,46.63,34369286
2015-10-07,47.1,46.75,27510808
2015-10-08,46.56,46.8,27711492
2015-10-09,47.45,47.45,33772709
2015-10-12,46.98,47.11,28600632
2015-10-13,46.56,47.0,19769066
2015-10-14,46.65,46.89,19987816
2015-10-15,47.01,46.68,24697766
2015-10-16,47.02,47.01,27189370
