Date,Match,Result,Score,Competition
20 Sep 1914,Argentina v Brazil,L,3-0,International Friendly
27 Sep 1914,Argentina v Brazil,W,0-1,Copa Julio Roca
08 Jul 1916,Chile v Brazil,D,1-1,Copa America
10 Jul 1916,Argentina v Brazil,D,1-1,Copa America
12 Jul 1916,Uruguay v Brazil,L,2-1,Copa America
18 Jul 1916,Uruguay v Brazil,W,0-1,International Friendly
27 Sep 1916,Argentina v Brazil,W,0-1,Copa Julio Roca
03 Oct 1917,Argentina v Brazil,L,4-2,Copa America
07 Oct 1917,Uruguay v Brazil,L,4-0,Copa America
12 Oct 1917,Brazil v Chile,W,5-0,Copa America
16 Oct 1917,Uruguay v Brazil,L,3-1,Benefit
11 May 1919,Brazil v Chile,W,6-0,Copa America
18 May 1919,Brazil v Argentina,W,3-1,Copa America
25 May 1919,Brazil v Uruguay,D,2-2,Copa America
29 May 1919,Brazil v Uruguay,W,1-0,Copa America
01 Jun 1919,Brazil v Argentina,D,3-3,Copa Roberto Cherry
11 Sep 1920,Chile v Brazil,W,0-1,Copa America
18 Sep 1920,Uruguay v Brazil,L,6-0,Copa America
25 Sep 1920,Brazil v Argentina,L,0-2,Copa America
12 Oct 1920,Argentina v Brazil,L,3-1,International Friendly
02 Oct 1921,Argentina v Brazil,L,1-0,Copa America
12 Oct 1921,Paraguay v Brazil,W,0-3,Copa America
23 Oct 1921,Uruguay v Brazil,L,2-1,Copa America
17 Sep 1922,Brazil v Chile,D,1-1,Copa America
24 Sep 1922,Brazil v Paraguay,D,1-1,Copa America
01 Oct 1922,Brazil v Uruguay,D,0-0,Copa America
15 Oct 1922,Brazil v Argentina,W,2-0,Copa America
22 Oct 1922,Brazil v Argentina,W,2-1,Copa Julio Roca
22 Oct 1922,Brazil v Paraguay,W,3-1,Copa America
29 Oct 1922,Brazil v Paraguay,W,3-1,Copa Rodrigues Alvez
11 Nov 1923,Paraguay v Brazil,L,1-0,Copa America
18 Nov 1923,Argentina v Brazil,L,2-1,Copa America
22 Nov 1923,Paraguay v Brazil,W,0-2,Copa Rodriquez
25 Nov 1923,Uruguay v Brazil,L,2-1,Copa America
02 Dec 1923,Argentina v Brazil,W,0-2,Copa Confraternidad
09 Dec 1923,Argentina v Brazil,L,2-0,Copa Julio Roca
06 Dec 1925,Brazil v Paraguay,W,5-2,Copa America
13 Dec 1925,Argentina v Brazil,L,4-1,Copa America
17 Dec 1925,Brazil v Paraguay,W,3-1,Copa America
25 Dec 1925,Argentina v Brazil,D,2-2,Copa America
14 Jul 1930,Brazil v Yugoslavia,L,1-2,FIFA World Cup
20 Jul 1930,Brazil v Bolivia,W,4-0,FIFA World Cup
10 Aug 1930,Brazil v Yugoslavia,W,4-1,Alvaro Chaves Unofficial Friendly
17 Aug 1930,Brazil v USA,W,4-3,International Friendly
06 Sep 1931,Brazil v Uruguay,W,2-0,Copa Rio Branco
04 Dec 1932,Uruguay v Brazil,W,1-2,Copa Rio Branco
27 May 1934,Spain v Brazil,L,3-1,FIFA World Cup
03 Jun 1934,Yugoslavia v Brazil,L,8-4,International Friendly
27 Dec 1936,Brazil v Peru,W,3-2,Copa America
03 Jan 1937,Brazil v Chile,W,6-4,Copa America
13 Jan 1937,Brazil v Paraguay,W,5-0,Copa America
19 Jan 1937,Brazil v Uruguay,W,3-2,Copa America
30 Jan 1937,Argentina v Brazil,L,1-0,Copa America
01 Feb 1937,Argentina v Brazil,L,2-0,Copa America
05 Jun 1938,Poland v Brazil,W,5-6,FIFA World Cup
12 Jun 1938,Czechoslovakia v Brazil,D,1-1,FIFA World Cup
14 Jun 1938,Czechoslovakia v Brazil,W,1-2,FIFA World Cup
16 Jun 1938,Italy v Brazil,L,2-1,FIFA World Cup
19 Jun 1938,Sweden v Brazil,W,2-4,FIFA World Cup
15 Jan 1939,Brazil v Argentina,L,1-5,Copa Julio Roca
22 Jan 1939,Brazil v Argentina,W,3-2,Copa Julio Roca
18 Feb 1940,Brazil v Argentina,D,2-2,Copa Julio Roca
