Date,Profit,order_quantity,transaction_count
2011-01-01,3225,8,5
2011-01-02,2925,9,4
2011-01-03,12174,17,8
2011-01-04,6240,10,5
2011-01-05,1644,5,3
2011-01-06,6939,11,6
2011-01-07,1942,5,4
2011-01-08,8916,18,8
2011-01-09,7288,9,5
2011-01-10,5930,9,4
2011-01-11,9689,16,9
2011-01-12,7801,10,7
2011-01-13,2786,4,3
2011-01-14,7533,21,9
2011-01-15,12557,13,7
2011-01-16,3364,7,7
2011-01-17,18506,21,8
2011-01-18,2961,11,6
2011-01-19,4605,11,6
2011-01-20,3329,9,6
2011-01-21,10195,11,7
2011-01-22,9486,16,9
2011-01-23,4082,8,3
2011-01-24,10469,20,8
2011-01-25,2855,5,4
2011-01-26,7703,12,5
2011-01-27,5851,12,5
2011-01-28,7575,14,6
2011-01-29,4997,9,4
2011-01-30,7535,14,10
2011-01-31,11747,17,7
2011-02-01,6522,11,6
2011-02-02,3894,11,6
2011-02-03,9701,14,7
2011-02-04,5733,14,7
2011-02-05,10852,15,6
2011-02-06,10920,15,10
2011-02-07,5101,13,6
2011-02-08,6858,10,4
2011-02-09,4063,8,3
2011-02-10,13114,21,10
2011-02-11,19735,30,12
2011-02-12,4827,5,3
2011-02-13,13704,16,7
2011-02-14,10966,18,8
2011-02-15,4102,11,6
2011-02-16,4689,8,3
2011-02-17,5998,7,4
2011-02-18,1555,3,2
2011-02-19,3504,10,6
2011-02-20,4324,6,5
2011-02-21,570,1,1
2011-02-22,12253,22,10
2011-02-23,6052,17,5
2011-02-24,7798,15,9
2011-02-25,3352,7,5
2011-02-26,10928,21,12
2011-02-27,8470,10,3
2011-02-28,7559,8,5
2011-03-01,3532,7,6
2011-03-02,6795,15,7
2011-03-03,8532,19,9
2011-03-04,6729,15,8
2011-03-05,693,3,3
2011-03-06,5928,22,9
2011-03-07,10409,18,9
2011-03-08,5383,9,4
2011-03-09,9301,13,6
2011-03-10,3127,3,2
2011-03-11,8189,12,6
2011-03-12,3187,10,5
2011-03-13,10469,20,10
2011-03-14,5527,9,4
2011-03-15,12145,20,10
2011-03-16,7809,9,5
2011-03-17,8260,18,9
2011-03-18,10484,21,8
2011-03-19,1880,5,4
2011-03-20,13880,24,9
2011-03-21,3862,12,4
2011-03-22,6668,12,6
2011-03-23,3735,8,5
2011-03-24,19858,26,12
2011-03-25,4480,9,5
2011-03-26,14000,15,9
2011-03-27,6176,6,3
2011-03-28,7459,13,8
2011-03-29,9656,10,6
2011-03-30,2162,5,4
2011-03-31,6089,9,4
2011-04-01,4244,13,5
2011-04-02,2233,5,3
2011-04-03,6169,22,9
2011-04-04,6800,12,7
2011-04-05,5224,11,5
2011-04-06,3990,8,5
2011-04-07,9373,14,9
2011-04-08,2435,5,3
2011-04-09,6535,8,5
2011-04-10,7182,10,5
2011-04-11,5558,10,6
2011-04-12,11082,19,12
2011-04-13,3141,6,4
2011-04-14,9826,9,3
2011-04-15,11002,27,13
2011-04-16,13677,17,7
2011-04-17,15368,20,9
2011-04-18,2863,11,7
2011-04-19,5880,7,4
2011-04-20,9056,20,11
2011-04-21,6757,13,5
2011-04-22,3272,10,4
2011-04-23,9303,21,10
2011-04-24,1694,7,4
2011-04-25,8020,11,8
2011-04-26,6603,9,4
2011-04-27,9228,13,9
2011-04-28,4107,12,7
2011-04-29,14706,25,11
2011-04-30,18273,28,13
2011-05-01,12846,22,12
2011-05-02,5155,8,5
2011-05-03,4378,9,5
2011-05-04,13897,25,11
2011-05-05,5809,7,5
2011-05-06,9165,19,9
2011-05-07,9482,13,5
2011-05-08,10120,17,10
2011-05-09,4220,12,6
2011-05-10,3059,6,3
2011-05-11,6864,9,4
2011-05-12,14367,25,9
2011-05-13,12348,23,13
2011-05-14,7954,12,6
2011-05-15,9017,14,7
2011-05-16,15762,25,11
2011-05-17,11735,21,9
2011-05-18,3985,13,8
2011-05-19,6466,9,6
2011-05-20,4460,11,6
2011-05-21,6938,11,6
2011-05-22,3532,10,6
2011-05-23,8536,12,7
2011-05-24,11011,18,9
2011-05-25,8190,17,9
2011-05-26,5420,12,6
2011-05-27,6508,13,5
2011-05-28,3293,6,5
2011-05-29,1264,1,1
2011-05-30,6560,13,7
2011-05-31,2348,5,3
2011-06-01,2507,7,4
2011-06-02,8204,22,12
2011-06-03,2001,6,3
2011-06-04,12223,18,7
2011-06-05,9679,13,6
2011-06-06,12204,14,7
2011-06-07,11441,20,8
2011-06-08,7034,15,8
2011-06-09,1776,6,5
2011-06-10,5137,15,8
2011-06-11,3941,13,5
2011-06-12,10006,18,12
2011-06-13,2791,7,4
2011-06-14,7181,8,4
2011-06-15,5164,10,6
2011-06-16,1285,2,2
2011-06-17,4623,12,6
2011-06-18,9264,22,11
2011-06-19,17013,25,13
2011-06-20,6465,10,7
2011-06-21,5802,16,9
2011-06-22,7349,11,5
2011-06-23,13483,26,15
2011-06-24,11765,18,7
2011-06-25,3839,9,5
2011-06-26,8398,15,7
2011-06-27,6552,16,9
2011-06-28,2198,12,5
2011-06-29,11058,24,8
2011-06-30,4646,7,6
2011-07-01,8068,21,8
2011-07-02,1042,5,3
2011-07-03,18093,24,13
2011-07-04,4425,11,9
2011-07-05,16549,24,10
2011-07-06,6027,20,11
2011-07-07,7482,16,9
2011-07-08,11764,15,6
2011-07-09,6691,12,5
2011-07-10,9148,17,7
2011-07-11,11964,25,12
2011-07-12,6108,13,8
2011-07-13,16274,25,12
2011-07-14,10392,24,10
2011-07-15,5031,11,4
2011-07-16,4505,12,6
2011-07-17,13552,21,11
2011-07-18,10482,12,7
2011-07-19,5414,15,8
2011-07-20,14165,25,10
2011-07-21,13761,23,10
2011-07-22,9039,16,7
2011-07-23,11707,18,7
2011-07-24,4453,8,6
2011-07-25,8483,16,9
2011-07-26,5540,8,5
2011-07-27,15382,18,10
2011-07-28,2823,6,5
2011-07-29,3601,10,6
2011-07-30,17127,21,10
2011-07-31,9436,13,9
2011-08-01,5011,15,9
2011-08-02,8701,12,8
2011-08-03,2920,9,6
2011-08-04,6860,16,9
2011-08-05,3816,13,7
2011-08-06,13262,29,12
2011-08-07,9962,20,11
2011-08-08,13085,19,8
2011-08-09,6166,11,8
2011-08-10,3463,10,4
2011-08-11,4037,7,5
2011-08-12,9887,18,9
2011-08-13,14787,25,12
2011-08-14,13616,22,10
2011-08-15,7913,15,12
2011-08-16,7783,13,5
2011-08-17,10670,17,10
2011-08-18,7226,19,8
2011-08-19,14453,18,11
2011-08-20,17801,26,12
2011-08-21,8348,19,10
2011-08-22,7679,17,10
2011-08-23,2913,8,5
2011-08-24,9699,22,11
2011-08-25,10998,22,11
2011-08-26,14288,29,13
2011-08-27,19703,23,11
2011-08-28,5953,11,8
2011-08-29,11906,20,6
2011-08-30,5767,19,8
2011-08-31,7158,16,12
2011-09-01,2950,5,2
2011-09-02,12442,17,7
2011-09-03,4681,10,8
2011-09-04,2836,7,6
2011-09-05,2797,6,4
2011-09-06,1894,6,4
2011-09-07,1231,6,2
2011-09-08,13293,20,9
2011-09-09,8397,18,9
2011-09-10,9419,14,9
2011-09-11,12494,23,8
2011-09-12,6447,18,7
2011-09-13,7846,15,11
2011-09-14,12451,20,10
2011-09-15,6189,8,4
2011-09-16,6519,8,5
2011-09-17,4077,7,5
2011-09-18,16281,19,9
2011-09-19,8108,24,9
2011-09-20,6447,15,7
2011-09-21,5189,7,5
2011-09-22,4210,12,5
2011-09-23,6172,9,7
2011-09-24,7511,15,9
2011-09-25,6989,13,6
2011-09-26,12837,26,10
2011-09-27,4729,7,3
2011-09-28,1139,2,2
2011-09-29,7476,12,7
2011-09-30,10505,19,9
2011-10-01,7320,13,8
2011-10-02,10410,14,8
2011-10-03,5569,13,7
2011-10-04,8585,15,7
2011-10-05,3400,6,3
2011-10-06,7691,18,7
2011-10-07,10114,15,7
2011-10-08,7281,20,7
2011-10-09,2685,7,3
2011-10-10,3096,6,4
2011-10-11,4922,15,7
2011-10-12,6440,22,12
2011-10-13,11567,26,13
2011-10-14,3819,12,6
2011-10-15,9521,16,6
2011-10-16,7780,19,9
2011-10-17,7896,12,6
2011-10-18,6456,10,7
2011-10-19,12246,24,12
2011-10-20,10085,14,9
2011-10-21,10031,20,10
2011-10-22,5937,13,7
2011-10-23,4000,7,7
2011-10-24,11091,16,9
2011-10-25,11447,19,7
2011-10-26,4980,12,9
2011-10-27,935,5,3
2011-10-28,3654,15,6
2011-10-29,4850,12,6
2011-10-30,16497,29,12
2011-10-31,2202,7,5
2011-11-01,1760,8,6
2011-11-02,5731,14,4
2011-11-03,11462,13,6
2011-11-04,546,1,1
2011-11-05,3711,9,6
2011-11-06,5315,13,9
2011-11-07,4509,11,5
2011-11-08,3841,11,7
2011-11-09,7861,14,4
2011-11-10,5534,11,7
2011-11-11,11335,26,11
2011-11-12,4831,13,6
2011-11-13,4367,7,4
2011-11-14,5834,10,5
2011-11-15,2010,3,3
2011-11-16,6472,13,8
2011-11-17,5046,8,6
2011-11-18,2450,8,7
2011-11-19,5623,8,4
2011-11-20,12605,20,9
2011-11-21,11695,17,7
2011-11-22,3638,6,4
2011-11-23,3286,11,5
2011-11-24,9438,16,10
2011-11-25,8799,15,8
2011-11-26,6339,9,6
2011-11-27,9013,29,14
2011-11-28,4076,10,6
2011-11-29,4019,14,6
2011-11-30,10825,19,9
2011-12-01,9939,17,11
2011-12-02,5183,20,9
2011-12-03,17546,35,16
2011-12-04,1927,6,3
2011-12-05,20071,26,13
2011-12-06,5604,9,6
2011-12-07,19407,36,17
2011-12-08,13070,30,11
2011-12-09,6757,10,7
2011-12-10,9653,18,10
2011-12-11,13866,28,14
2011-12-12,22737,41,17
2011-12-13,9018,19,12
2011-12-14,18047,30,16
2011-12-15,9810,14,5
2011-12-16,9617,19,11
2011-12-17,9902,24,11
2011-12-18,13458,25,10
2011-12-19,26809,42,14
2011-12-20,22382,32,14
2011-12-21,3042,6,3
2011-12-22,11739,19,12
2011-12-23,10705,20,12
2011-12-24,12002,22,13
2011-12-25,9394,16,8
2011-12-26,6163,12,8
2011-12-27,8620,14,9
2011-12-28,9620,25,10
2011-12-29,16588,26,14
2011-12-30,8152,10,7
2011-12-31,8364,13,7
2012-01-01,4709,10,5
2012-01-02,2831,8,4
2012-01-03,9665,16,8
2012-01-04,5908,10,5
2012-01-05,2135,6,3
2012-01-06,7196,12,6
2012-01-07,2783,8,4
2012-01-08,8568,16,8
2012-01-09,6755,10,5
2012-01-10,4272,8,4
2012-01-11,11656,18,9
2012-01-12,10423,14,7
2012-01-13,4472,6,3
2012-01-14,6879,18,9
2012-01-15,11702,14,7
2012-01-16,6730,14,7
2012-01-17,12310,16,8
2012-01-18,3655,12,6
2012-01-19,5658,12,6
2012-01-20,5545,12,6
2012-01-21,10363,14,7
2012-01-22,9904,18,9
2012-01-23,4269,6,3
2012-01-24,8669,16,8
2012-01-25,4542,8,4
2012-01-26,5647,10,5
2012-01-27,4642,10,5
2012-01-28,5706,12,6
2012-01-29,4434,8,4
2012-01-30,10987,20,10
2012-01-31,8266,14,7
2012-02-01,7488,12,6
2012-02-02,5154,12,6
2012-02-03,10542,14,7
2012-02-04,5994,14,7
2012-02-05,9761,12,6
2012-02-06,12972,20,10
2012-02-07,5472,12,6
2012-02-08,5276,8,4
2012-02-09,3547,6,3
2012-02-10,11488,20,10
2012-02-11,14715,24,12
2012-02-12,5574,6,3
2012-02-13,12310,14,7
2012-02-14,9742,16,8
2012-02-15,4977,12,6
2012-02-16,2957,6,3
2012-02-17,7988,8,4
2012-02-18,2318,4,2
2012-02-19,4105,12,6
2012-02-20,7955,10,5
2012-02-21,1141,2,1
2012-02-22,10837,20,10
