params,aic,bic
"{'order': (0, 1, 2), 'seasonal_order': (0, 0, 2, 4)}",336.3162404525562,351.4284220360739
"{'order': (0, 1, 2), 'seasonal_order': (1, 0, 2, 4)}",337.0871458681006,354.35821053497796
"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 2, 4)}",338.2245339872035,355.4955986540808
"{'order': (0, 1, 1), 'seasonal_order': (0, 0, 2, 4)}",343.4779061822524,356.52422980162623
"{'order': (1, 1, 1), 'seasonal_order': (0, 0, 2, 4)}",342.11826373585535,357.3389746251248
"{'order': (0, 1, 2), 'seasonal_order': (2, 0, 2, 4)}",338.3499241189173,357.7798718691543
"{'order': (1, 1, 2), 'seasonal_order': (1, 0, 2, 4)}",339.05974009549044,358.4896878457275
"{'order': (2, 1, 0), 'seasonal_order': (2, 0, 0, 4)}",343.559424464419,358.7801353536885
"{'order': (2, 1, 1), 'seasonal_order': (2, 0, 0, 4)}",341.910576816862,359.3056749760271
"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 2, 4)}",344.14395196818265,359.3646628574521
"{'order': (2, 1, 2), 'seasonal_order': (0, 0, 2, 4)}",340.14162861915236,359.5715763693894
"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 2, 4)}",342.7765469069165,360.1716450660816
"{'order': (1, 1, 1), 'seasonal_order': (1, 0, 2, 4)}",343.0252157003026,360.42031385946774
"{'order': (1, 1, 1), 'seasonal_order': (2, 0, 0, 4)}",345.83655748262527,361.16414067681023
"{'order': (1, 1, 2), 'seasonal_order': (2, 0, 2, 4)}",340.24116005592197,361.8299908895187
"{'order': (2, 1, 0), 'seasonal_order': (2, 0, 1, 4)}",344.5648062833526,361.9599044425177
"{'order': (2, 1, 2), 'seasonal_order': (1, 0, 2, 4)}",340.99879564295554,362.58762647655226
"{'order': (2, 1, 2), 'seasonal_order': (2, 0, 0, 4)}",343.0919795392202,362.66146496828094
"{'order': (2, 1, 1), 'seasonal_order': (1, 0, 2, 4)}",343.5830750312964,363.1525604603571
"{'order': (2, 1, 0), 'seasonal_order': (0, 0, 2, 4)}",347.9138336697709,363.24141686395586
"{'order': (0, 1, 1), 'seasonal_order': (2, 0, 2, 4)}",345.849709105946,363.2448072651111
"{'order': (2, 1, 1), 'seasonal_order': (2, 0, 1, 4)}",343.7320552426788,363.30154067173953
"{'order': (1, 1, 1), 'seasonal_order': (2, 0, 2, 4)}",343.97695780368895,363.54644323274965
"{'order': (1, 1, 2), 'seasonal_order': (2, 0, 0, 4)}",346.37307437773734,363.89031231394875
"{'order': (0, 1, 2), 'seasonal_order': (2, 0, 0, 4)}",348.6584513313098,364.09129966704654
"{'order': (0, 1, 0), 'seasonal_order': (0, 0, 2, 4)}",353.8183881729734,364.76666188310554
"{'order': (1, 1, 1), 'seasonal_order': (2, 0, 1, 4)}",347.38699646040004,364.90423439661146
"{'order': (2, 1, 0), 'seasonal_order': (2, 0, 2, 4)}",346.01317496487707,365.5826603939378
"{'order': (2, 1, 0), 'seasonal_order': (1, 0, 2, 4)}",348.46777900704564,365.98501694325705
"{'order': (2, 1, 2), 'seasonal_order': (2, 0, 2, 4)}",342.2390734235697,365.9867873405261
"{'order': (0, 1, 2), 'seasonal_order': (0, 0, 1, 4)}",352.7575331598688,366.0745793909254
"{'order': (0, 1, 1), 'seasonal_order': (2, 0, 0, 4)}",352.9659684429183,366.1941241592641
"{'order': (2, 1, 2), 'seasonal_order': (2, 0, 1, 4)}",344.7732625645028,366.5171352634591
"{'order': (1, 1, 0), 'seasonal_order': (2, 0, 0, 4)}",353.4539790413399,366.59190749349847
"{'order': (2, 1, 1), 'seasonal_order': (2, 0, 2, 4)}",345.26335384303314,367.0072265419895
"{'order': (1, 1, 2), 'seasonal_order': (2, 0, 1, 4)}",347.5707968466047,367.2776895248425
"{'order': (0, 1, 0), 'seasonal_order': (1, 0, 2, 4)}",354.25582601477447,367.39375446693305
"{'order': (1, 1, 0), 'seasonal_order': (0, 0, 2, 4)}",354.28132253474644,367.419250986905
"{'order': (1, 0, 0), 'seasonal_order': (1, 0, 2, 4)}",352.08584672649584,367.5186950622326
"{'order': (2, 0, 0), 'seasonal_order': (2, 0, 1, 4)}",350.1491401772439,367.6663781134553
"{'order': (1, 0, 0), 'seasonal_order': (2, 0, 1, 4)}",352.430346311118,367.86319464685477
"{'order': (0, 1, 2), 'seasonal_order': (2, 0, 1, 4)}",350.31577194609775,367.9533129012255
"{'order': (0, 1, 0), 'seasonal_order': (2, 0, 0, 4)}",357.0487455419671,368.0722086389219
"{'order': (1, 0, 0), 'seasonal_order': (2, 0, 0, 4)}",354.92935351329686,368.15750922964264
"{'order': (0, 0, 2), 'seasonal_order': (2, 0, 2, 4)}",348.9151168050247,368.4846022340854
"{'order': (1, 0, 1), 'seasonal_order': (2, 0, 2, 4)}",349.09838893922404,368.80528161746184
"{'order': (1, 0, 0), 'seasonal_order': (2, 0, 2, 4)}",351.207823919827,368.8453648749547
"{'order': (2, 0, 0), 'seasonal_order': (2, 0, 2, 4)}",349.18146072590326,368.88835340414107
"{'order': (0, 1, 2), 'seasonal_order': (1, 0, 1, 4)}",353.39029726830313,368.92685120453586
