params,aic,bic
"{'order': (1, 1, 1), 'seasonal_order': (1, 0, 2, 30)}",3928.9760620118077,3973.4988459410265
"{'order': (1, 1, 1), 'seasonal_order': (0, 0, 2, 30)}",3934.373823005788,3973.9496309428714
"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 2, 30)}",3929.6908632756813,3974.2049891955744
"{'order': (1, 1, 2), 'seasonal_order': (1, 0, 2, 30)}",3925.4619222156393,3974.9220621266318
"{'order': (1, 1, 1), 'seasonal_order': (2, 0, 0, 30)}",3936.8392481555056,3976.4227447044254
"{'order': (1, 1, 1), 'seasonal_order': (2, 0, 1, 30)}",3933.446669938542,3977.978103556077
"{'order': (2, 1, 2), 'seasonal_order': (1, 0, 2, 30)}",3923.771003678702,3978.1771575807934
"{'order': (2, 1, 1), 'seasonal_order': (2, 0, 0, 30)}",3934.9619182125844,3979.484702141803
"{'order': (2, 1, 1), 'seasonal_order': (1, 0, 2, 30)}",3930.7276841008565,3980.1974440222107
"{'order': (2, 1, 1), 'seasonal_order': (2, 0, 1, 30)}",3930.926588193478,3980.396348114832
"{'order': (1, 1, 1), 'seasonal_order': (2, 0, 2, 30)}",3930.9370679100784,3980.4068278314326
"{'order': (2, 1, 2), 'seasonal_order': (0, 0, 2, 30)}",3931.1530255721304,3980.613165483123
"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 2, 30)}",3936.2970538352965,3980.8198377645153
"{'order': (2, 0, 1), 'seasonal_order': (2, 0, 0, 30)}",3936.9460388556936,3981.4774724732283
"{'order': (1, 1, 2), 'seasonal_order': (2, 0, 2, 30)}",3927.4608832434524,3981.8670371455437
"{'order': (2, 0, 1), 'seasonal_order': (1, 0, 2, 30)}",3932.74029114145,3982.2196618276
"{'order': (2, 0, 1), 'seasonal_order': (2, 0, 1, 30)}",3933.029067260206,3982.5084379463556
"{'order': (2, 0, 1), 'seasonal_order': (0, 0, 2, 30)}",3938.283000244075,3982.81443386161
"{'order': (1, 1, 2), 'seasonal_order': (2, 0, 0, 30)}",3938.7690598966387,3983.3004935141735
"{'order': (2, 1, 2), 'seasonal_order': (2, 0, 0, 30)}",3934.255599977062,3983.725359898416
"{'order': (1, 1, 2), 'seasonal_order': (2, 0, 1, 30)}",3935.1892109149194,3984.668581601069
"{'order': (2, 0, 2), 'seasonal_order': (1, 0, 2, 30)}",3930.583640765664,3985.0003766791533
"{'order': (2, 0, 2), 'seasonal_order': (0, 0, 2, 30)}",3936.984036956214,3986.453796877568
"{'order': (2, 1, 2), 'seasonal_order': (2, 0, 1, 30)}",3932.273251804253,3986.6899877177425
"{'order': (0, 1, 2), 'seasonal_order': (0, 0, 2, 30)}",3947.3349384177245,3986.9030503465183
"{'order': (2, 1, 1), 'seasonal_order': (2, 0, 2, 30)}",3932.686931461909,3987.1036673753983
"{'order': (2, 0, 2), 'seasonal_order': (2, 0, 0, 30)}",3938.810080632459,3988.289451318609
"{'order': (2, 0, 2), 'seasonal_order': (2, 0, 1, 30)}",3934.748795106834,3989.176102861599
"{'order': (2, 0, 1), 'seasonal_order': (2, 0, 2, 30)}",3935.5953631037473,3990.022670858512
"{'order': (2, 1, 2), 'seasonal_order': (2, 0, 2, 30)}",3930.7497367102706,3990.101904603461
"{'order': (0, 1, 2), 'seasonal_order': (1, 0, 2, 30)}",3945.8570393329187,3990.371165252812
"{'order': (2, 0, 2), 'seasonal_order': (2, 0, 2, 30)}",3932.537191474942,3991.9009033805673
"{'order': (1, 0, 2), 'seasonal_order': (0, 0, 2, 30)}",3951.1398273984914,3995.6626113277102
"{'order': (0, 1, 2), 'seasonal_order': (2, 0, 2, 30)}",3947.8493030015106,3997.309442912503
"{'order': (1, 0, 2), 'seasonal_order': (1, 0, 2, 30)}",3948.2726634359815,3997.7424233573356
"{'order': (0, 1, 2), 'seasonal_order': (2, 0, 0, 30)}",3958.9447097565762,3998.5358875350826
"{'order': (1, 0, 2), 'seasonal_order': (2, 0, 0, 30)}",3956.087662170945,4000.6277371717647
"{'order': (0, 1, 2), 'seasonal_order': (2, 0, 1, 30)}",3956.4079540806056,4000.9480290814254
"{'order': (1, 0, 2), 'seasonal_order': (2, 0, 1, 30)}",3954.009535433533,4003.4985076566663
"{'order': (1, 0, 2), 'seasonal_order': (2, 0, 2, 30)}",3950.225838487129,4004.6425744006183
"{'order': (0, 1, 1), 'seasonal_order': (0, 0, 2, 30)}",3972.9952766534398,4007.6241085983875
"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 2, 30)}",3970.1636793882753,4009.739487325359
"{'order': (2, 1, 0), 'seasonal_order': (2, 0, 0, 30)}",3970.8196885474817,4010.3954964845652
"{'order': (1, 0, 1), 'seasonal_order': (0, 0, 2, 30)}",3970.88095284105,4010.46444938997
"{'order': (1, 0, 1), 'seasonal_order': (2, 0, 0, 30)}",3972.6118219471155,4012.202999725622
"{'order': (1, 0, 1), 'seasonal_order': (1, 0, 2, 30)}",3968.579967138572,4013.111400756107
"{'order': (2, 1, 0), 'seasonal_order': (2, 0, 1, 30)}",3968.6339736374157,4013.1567575666345
"{'order': (0, 1, 1), 'seasonal_order': (2, 0, 0, 30)}",3978.656870478384,4013.2991510345773
"{'order': (2, 1, 0), 'seasonal_order': (0, 0, 2, 30)}",3975.3732389035263,4014.956735452446
"{'order': (1, 0, 1), 'seasonal_order': (2, 0, 1, 30)}",3971.455733174377,4015.995808175197
"{'order': (0, 1, 1), 'seasonal_order': (2, 0, 2, 30)}",3972.1370860317984,4016.659869961017
"{'order': (2, 1, 0), 'seasonal_order': (1, 0, 2, 30)}",3972.146572916872,4016.678006534407
"{'order': (0, 1, 1), 'seasonal_order': (2, 0, 1, 30)}",3977.149779213866,4016.7409569923725
"{'order': (2, 0, 0), 'seasonal_order': (2, 0, 0, 30)}",3977.3521592482284,4016.9356557971482
"{'order': (1, 1, 0), 'seasonal_order': (2, 0, 0, 30)}",3985.223254931606,4019.8588144119108
"{'order': (2, 1, 0), 'seasonal_order': (2, 0, 2, 30)}",3970.4686676118276,4019.9384275331818
"{'order': (2, 0, 0), 'seasonal_order': (2, 0, 1, 30)}",3975.489128580242,4020.0205621977766
"{'order': (1, 0, 1), 'seasonal_order': (2, 0, 2, 30)}",3970.5698882181364,4020.049258904286
"{'order': (1, 1, 0), 'seasonal_order': (0, 0, 2, 30)}",3986.2803414326936,4020.9159009129985
"{'order': (2, 0, 0), 'seasonal_order': (0, 0, 2, 30)}",3981.34190470316,4020.933082481666
"{'order': (1, 1, 0), 'seasonal_order': (1, 0, 2, 30)}",3982.4967770914573,4022.080273640377
"{'order': (1, 1, 0), 'seasonal_order': (2, 0, 1, 30)}",3982.726608757618,4022.310105306538
"{'order': (2, 0, 0), 'seasonal_order': (1, 0, 2, 30)}",3978.219531819949,4022.759606820769
"{'order': (2, 0, 0), 'seasonal_order': (2, 0, 2, 30)}",3977.411553827299,4026.8909245134487
"{'order': (1, 1, 0), 'seasonal_order': (2, 0, 2, 30)}",3984.4914665008964,4029.022900118431
"{'order': (1, 0, 0), 'seasonal_order': (2, 0, 0, 30)}",4002.5642548372452,4037.2065353934386
"{'order': (1, 0, 0), 'seasonal_order': (1, 0, 2, 30)}",3997.8488494495928,4037.440027228099
"{'order': (1, 0, 0), 'seasonal_order': (2, 0, 1, 30)}",3997.8970843853244,4037.4882621638308
"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 2, 30)}",4003.757624413929,4038.3999049701224
"{'order': (0, 1, 0), 'seasonal_order': (1, 0, 2, 30)}",4005.454608110111,4040.090167590416
"{'order': (0, 1, 0), 'seasonal_order': (0, 0, 2, 30)}",4012.3731781656425,4042.0608005773324
"{'order': (0, 1, 0), 'seasonal_order': (2, 0, 1, 30)}",4008.6278007607452,4043.2700813169386
"{'order': (0, 1, 0), 'seasonal_order': (2, 0, 0, 30)}",4014.179988173806,4043.873371507686
"{'order': (1, 0, 0), 'seasonal_order': (2, 0, 2, 30)}",3999.8440429150505,4044.3841179158703
"{'order': (0, 1, 0), 'seasonal_order': (2, 0, 2, 30)}",4007.4293700476837,4047.0128665966035
"{'order': (1, 1, 1), 'seasonal_order': (0, 0, 1, 30)}",4044.8880130389834,4079.7159105311753
"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 1, 30)}",4043.0020201911143,4082.797851479315
"{'order': (1, 1, 1), 'seasonal_order': (1, 0, 0, 30)}",4049.249000213913,4084.083436707047
"{'order': (1, 1, 1), 'seasonal_order': (1, 0, 1, 30)}",4046.2608400708887,4086.0641514905365
"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 1, 30)}",4046.378964667653,4086.1822760873006
"{'order': (2, 0, 1), 'seasonal_order': (0, 0, 1, 30)}",4047.101807717038,4086.9125922806197
"{'order': (2, 1, 1), 'seasonal_order': (1, 0, 0, 30)}",4047.547996014706,4087.3513074343537
"{'order': (2, 0, 1), 'seasonal_order': (1, 0, 0, 30)}",4048.3005333157193,4088.111317879301
"{'order': (1, 1, 2), 'seasonal_order': (1, 0, 1, 30)}",4044.2131846876637,4088.9834948868893
"{'order': (2, 1, 2), 'seasonal_order': (0, 0, 1, 30)}",4044.635971636413,4089.4062818356388
"{'order': (2, 0, 2), 'seasonal_order': (0, 0, 1, 30)}",4045.7396533213423,4090.518378668446
