params,aic,bic
"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 2, 30)}",2145.549272881184,2170.068009169107
"{'order': (0, 0, 0), 'seasonal_order': (2, 0, 0, 30)}",2145.947761667479,2170.471515517288
"{'order': (0, 0, 1), 'seasonal_order': (0, 0, 2, 30)}",2146.075882110218,2175.4923385331695
"{'order': (1, 0, 0), 'seasonal_order': (2, 0, 0, 30)}",2147.1786218486723,2176.6011053941797
"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 2, 30)}",2147.4882031901993,2176.910686735707
"{'order': (0, 0, 0), 'seasonal_order': (1, 0, 2, 30)}",2147.68117499962,2177.1036585451275
"{'order': (0, 0, 1), 'seasonal_order': (2, 0, 0, 30)}",2148.355940034895,2177.784444654666
"{'order': (0, 0, 0), 'seasonal_order': (2, 0, 1, 30)}",2148.804983999022,2178.233488618793
"{'order': (0, 0, 2), 'seasonal_order': (0, 0, 2, 30)}",2146.4956138886178,2180.8077743352137
"{'order': (2, 0, 0), 'seasonal_order': (2, 0, 0, 30)}",2147.6401165783163,2181.9593157384265
"{'order': (0, 0, 1), 'seasonal_order': (1, 0, 2, 30)}",2148.2531177685523,2182.5723169286625
"{'order': (1, 0, 1), 'seasonal_order': (0, 0, 2, 30)}",2148.4541406976405,2182.7733398577507
"{'order': (2, 0, 0), 'seasonal_order': (0, 0, 2, 30)}",2149.242610068475,2183.5688408715673
"{'order': (0, 0, 0), 'seasonal_order': (2, 0, 2, 30)}",2149.50913032829,2183.8353611313823
"{'order': (1, 0, 1), 'seasonal_order': (2, 0, 0, 30)}",2149.5997263706804,2183.9259571737725
"{'order': (1, 0, 0), 'seasonal_order': (1, 0, 2, 30)}",2149.6704287779994,2183.9966595810915
"{'order': (1, 0, 0), 'seasonal_order': (2, 0, 1, 30)}",2149.963100956871,2184.2893317599633
"{'order': (0, 0, 2), 'seasonal_order': (2, 0, 0, 30)}",2150.028215568039,2184.361470957772
"{'order': (0, 0, 1), 'seasonal_order': (2, 0, 1, 30)}",2150.9982446290287,2185.3315000187617
"{'order': (1, 0, 2), 'seasonal_order': (0, 0, 2, 30)}",2148.516542329399,2187.730439982651
"{'order': (0, 0, 2), 'seasonal_order': (1, 0, 2, 30)}",2148.5831788178502,2187.7970764711026
"{'order': (2, 0, 1), 'seasonal_order': (2, 0, 0, 30)}",2149.484598150455,2188.7065400477236
"{'order': (2, 0, 1), 'seasonal_order': (0, 0, 2, 30)}",2149.8006655005765,2189.022607397845
"{'order': (0, 0, 1), 'seasonal_order': (2, 0, 2, 30)}",2150.153269691981,2189.37521158925
"{'order': (2, 0, 0), 'seasonal_order': (2, 0, 1, 30)}",2150.486087065585,2189.7080289628534
"{'order': (1, 0, 1), 'seasonal_order': (1, 0, 2, 30)}",2150.6138936606594,2189.835835557928
"{'order': (1, 0, 2), 'seasonal_order': (2, 0, 0, 30)}",2150.741531924411,2189.971509985088
"{'order': (2, 0, 0), 'seasonal_order': (1, 0, 2, 30)}",2151.4148367227044,2190.644814783381
"{'order': (1, 0, 0), 'seasonal_order': (2, 0, 2, 30)}",2151.52067304912,2190.7506511097968
"{'order': (1, 0, 1), 'seasonal_order': (2, 0, 1, 30)}",2152.2090063363594,2191.438984397036
"{'order': (0, 0, 2), 'seasonal_order': (2, 0, 1, 30)}",2152.642180688023,2191.8801868477176
"{'order': (0, 0, 2), 'seasonal_order': (2, 0, 2, 30)}",2150.417945916386,2194.5335807762954
"{'order': (2, 0, 2), 'seasonal_order': (0, 0, 2, 30)}",2150.428650120166,2194.544284980075
"{'order': (1, 0, 2), 'seasonal_order': (1, 0, 2, 30)}",2150.607724343067,2194.723359202976
