params,aic,bic
"{'order': (1, 1, 0), 'seasonal_order': (0, 0, 0, 0)}",722.1625480208036,749.4753523774896
"{'order': (0, 1, 1), 'seasonal_order': (0, 0, 0, 0)}",722.4556398138288,749.7678579610905
"{'order': (2, 1, 0), 'seasonal_order': (0, 0, 0, 0)}",724.0165580413891,758.1568307254662
"{'order': (1, 1, 1), 'seasonal_order': (0, 0, 0, 0)}",724.2051886118338,758.3454612959109
"{'order': (0, 1, 2), 'seasonal_order': (0, 0, 0, 0)}",724.8711523158786,759.0106921307715
"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 0)}",726.270024630448,767.2383518513406
"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 0, 0)}",726.9812494262246,767.9486972040961
"{'order': (2, 1, 2), 'seasonal_order': (0, 0, 0, 0)}",727.4187758793219,775.214131620172
"{'order': (2, 0, 1), 'seasonal_order': (0, 0, 0, 0)}",4254.265970769327,4295.2351773043565
"{'order': (2, 0, 0), 'seasonal_order': (0, 0, 0, 0)}",4346.228647740717,4380.369653186574
"{'order': (1, 0, 2), 'seasonal_order': (0, 0, 0, 0)}",4364.735592899115,4405.703920120007
"{'order': (1, 0, 1), 'seasonal_order': (0, 0, 0, 0)}",4396.309906446964,4430.450911892822
"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 0, 0)}",4552.66825446945,4579.981644949663
"{'order': (2, 0, 2), 'seasonal_order': (0, 0, 0, 0)}",5210.859356117257,5258.655737874966
"{'order': (0, 0, 2), 'seasonal_order': (0, 0, 0, 0)}",8798.17032649641,8832.310599180488
"{'order': (0, 0, 1), 'seasonal_order': (0, 0, 0, 0)}",16270.255342609253,16297.56814696594
"{'order': (0, 1, 0), 'seasonal_order': (0, 0, 0, 0)}",54156.82026901837,54177.30487228588
"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 0, 0)}",65989.15434976753,66009.6393926277
