params,aic,bic
"{'order': (0, 1, 2), 'seasonal_order': (0, 0, 2, 12)}",27723.36372223682,27754.824800084814
"{'order': (0, 1, 2), 'seasonal_order': (1, 0, 2, 12)}",27722.093404447896,27758.797995270554
"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 2, 12)}",27722.552895320838,27759.257486143495
"{'order': (1, 1, 2), 'seasonal_order': (1, 0, 2, 12)}",27720.923274046403,27762.871377843727
"{'order': (0, 1, 2), 'seasonal_order': (2, 0, 2, 12)}",27726.775011605947,27768.72311540327
"{'order': (2, 1, 2), 'seasonal_order': (0, 0, 2, 12)}",27726.785050376013,27768.733154173337
"{'order': (0, 1, 1), 'seasonal_order': (0, 0, 2, 12)}",27743.85145266165,27770.072590239666
"{'order': (2, 1, 2), 'seasonal_order': (1, 0, 2, 12)}",27725.333078751406,27772.524695523396
"{'order': (1, 1, 1), 'seasonal_order': (0, 0, 2, 12)}",27743.29031897754,27774.75568407116
"{'order': (1, 1, 2), 'seasonal_order': (2, 0, 2, 12)}",27728.583011339804,27775.774628111794
"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 2, 12)}",27745.232798419078,27776.698163512698
"{'order': (1, 1, 1), 'seasonal_order': (1, 0, 2, 12)}",27744.533471183604,27781.243063792826
"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 2, 12)}",27745.689627637345,27782.399220246567
"{'order': (2, 1, 1), 'seasonal_order': (2, 0, 0, 12)}",27745.88822456879,27782.59781717801
"{'order': (2, 1, 2), 'seasonal_order': (2, 0, 2, 12)}",27730.297278468963,27782.73240821562
"{'order': (0, 1, 1), 'seasonal_order': (2, 0, 2, 12)}",27746.445360594113,27783.154953203335
"{'order': (2, 1, 2), 'seasonal_order': (2, 0, 1, 12)}",27736.779791148143,27783.977838788574
"{'order': (2, 1, 1), 'seasonal_order': (2, 0, 1, 12)}",27744.705770884204,27786.65959100903
"{'order': (2, 1, 1), 'seasonal_order': (1, 0, 2, 12)}",27744.708594187046,27786.66241431187
"{'order': (2, 1, 2), 'seasonal_order': (2, 0, 0, 12)}",27745.819843113553,27787.77366323838
"{'order': (1, 1, 1), 'seasonal_order': (2, 0, 2, 12)}",27746.414750877353,27788.36857100218
"{'order': (2, 1, 1), 'seasonal_order': (2, 0, 2, 12)}",27748.98298706377,27796.1810347042
"{'order': (1, 1, 1), 'seasonal_order': (2, 0, 0, 12)}",27764.785774545286,27796.255423823306
"{'order': (1, 1, 2), 'seasonal_order': (2, 0, 0, 12)}",27760.48353679983,27797.19812762419
"{'order': (1, 1, 1), 'seasonal_order': (2, 0, 1, 12)}",27763.449798033107,27800.164388857465
"{'order': (0, 1, 1), 'seasonal_order': (2, 0, 0, 12)}",27779.600517363222,27805.828792701195
"{'order': (1, 1, 2), 'seasonal_order': (2, 0, 1, 12)}",27764.30149831494,27806.261030685637
"{'order': (0, 1, 2), 'seasonal_order': (2, 0, 0, 12)}",27780.189529568175,27811.66345997374
"{'order': (0, 1, 1), 'seasonal_order': (2, 0, 1, 12)}",27780.624279886237,27812.098210291802
"{'order': (0, 1, 2), 'seasonal_order': (2, 0, 1, 12)}",27778.73763149991,27815.45721697307
"{'order': (1, 0, 2), 'seasonal_order': (0, 0, 2, 12)}",27836.186914636968,27872.89650724619
"{'order': (1, 0, 2), 'seasonal_order': (1, 0, 2, 12)}",27837.703318880132,27879.657139004958
"{'order': (1, 0, 2), 'seasonal_order': (2, 0, 2, 12)}",27841.044488380776,27888.242536021207
"{'order': (1, 0, 2), 'seasonal_order': (2, 0, 0, 12)}",27874.822629009173,27911.542214482335
"{'order': (1, 0, 2), 'seasonal_order': (2, 0, 1, 12)}",27876.155992948523,27918.12123348928
"{'order': (1, 0, 1), 'seasonal_order': (0, 0, 2, 12)}",27889.11110680319,27920.58075608121
"{'order': (1, 0, 1), 'seasonal_order': (1, 0, 2, 12)}",27890.671087397444,27927.385678221803
"{'order': (2, 0, 1), 'seasonal_order': (0, 0, 2, 12)}",27891.002842857015,27927.717433681373
"{'order': (2, 0, 1), 'seasonal_order': (2, 0, 0, 12)}",27891.164341926833,27927.87893275119
"{'order': (1, 0, 1), 'seasonal_order': (2, 0, 2, 12)}",27892.65033095397,27934.609863324666
"{'order': (2, 0, 1), 'seasonal_order': (2, 0, 1, 12)}",27892.690178460303,27934.649710831
"{'order': (2, 0, 1), 'seasonal_order': (1, 0, 2, 12)}",27893.675506366766,27935.635038737462
"{'order': (1, 0, 1), 'seasonal_order': (2, 0, 0, 12)}",27908.585994063375,27940.05992446894
"{'order': (2, 0, 1), 'seasonal_order': (2, 0, 2, 12)}",27894.56088963092,27941.765363547955
"{'order': (1, 0, 1), 'seasonal_order': (2, 0, 1, 12)}",27909.968494149296,27946.688079622458
"{'order': (2, 1, 0), 'seasonal_order': (2, 0, 0, 12)}",27947.34098582487,27978.80635091849
"{'order': (2, 1, 0), 'seasonal_order': (2, 0, 1, 12)}",27949.34212316332,27986.05171577254
"{'order': (0, 1, 2), 'seasonal_order': (0, 0, 1, 12)}",27960.058354690584,27986.318624449847
"{'order': (0, 1, 2), 'seasonal_order': (1, 0, 1, 12)}",27958.211420514428,27989.723744225546
"{'order': (2, 1, 0), 'seasonal_order': (2, 0, 2, 12)}",27950.484845985764,27992.43866611059
"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 1, 12)}",27961.49953244986,27993.011856160978
"{'order': (1, 1, 2), 'seasonal_order': (1, 0, 1, 12)}",27959.480078854634,27996.244456517605
"{'order': (2, 1, 2), 'seasonal_order': (1, 0, 1, 12)}",27954.49891205466,27996.51534366948
"{'order': (2, 1, 0), 'seasonal_order': (0, 0, 2, 12)}",27966.1578568184,27997.62750609642
"{'order': (2, 1, 2), 'seasonal_order': (0, 0, 1, 12)}",27963.35701596884,28000.12139363181
"{'order': (0, 1, 1), 'seasonal_order': (0, 0, 1, 12)}",27981.285281966193,28002.296331638405
"{'order': (2, 1, 0), 'seasonal_order': (1, 0, 2, 12)}",27968.141195784658,28004.855786609016
"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 1, 12)}",27981.935959619204,28008.19977170947
"{'order': (1, 1, 1), 'seasonal_order': (0, 0, 1, 12)}",27983.14017168792,28009.403983778186
"{'order': (1, 1, 1), 'seasonal_order': (1, 0, 1, 12)}",27981.275955377714,28012.792529886032
"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 1, 12)}",27983.280171505176,28014.796746013493
"{'order': (2, 1, 1), 'seasonal_order': (1, 0, 0, 12)}",27983.383089390147,28014.899663898464
"{'order': (2, 1, 2), 'seasonal_order': (1, 0, 0, 12)}",27983.25536269581,28020.024699622183
"{'order': (2, 1, 1), 'seasonal_order': (1, 0, 1, 12)}",27983.879178744945,28020.648515671317
"{'order': (1, 1, 1), 'seasonal_order': (1, 0, 0, 12)}",28003.44793154167,28029.71528345509
"{'order': (1, 1, 2), 'seasonal_order': (1, 0, 0, 12)}",28001.8503479078,28033.371170203907
"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 0, 12)}",28020.530229817825,28041.54694120365
"{'order': (2, 0, 2), 'seasonal_order': (2, 0, 2, 12)}",27991.132641903903,28043.574917059937
"{'order': (0, 1, 2), 'seasonal_order': (1, 0, 0, 12)}",28019.001988138356,28045.27287737064
"{'order': (1, 1, 0), 'seasonal_order': (0, 0, 2, 12)}",28078.46722556663,28104.691933298316
"{'order': (1, 1, 0), 'seasonal_order': (2, 0, 0, 12)}",28078.49877128696,28104.723479018645
"{'order': (1, 0, 2), 'seasonal_order': (0, 0, 1, 12)}",28073.971081753243,28105.48765626156
"{'order': (1, 1, 0), 'seasonal_order': (1, 0, 2, 12)}",28079.423355674953,28110.893004952974
"{'order': (1, 1, 0), 'seasonal_order': (2, 0, 1, 12)}",28079.52345278019,28110.99310205821
"{'order': (1, 0, 2), 'seasonal_order': (1, 0, 1, 12)}",28075.067329618403,28111.836666544776
"{'order': (1, 1, 0), 'seasonal_order': (2, 0, 2, 12)}",28081.0857068405,28117.800297664857
"{'order': (1, 0, 2), 'seasonal_order': (1, 0, 0, 12)}",28113.46217449273,28144.98724157147
"{'order': (2, 0, 0), 'seasonal_order': (2, 0, 0, 12)}",28118.04217233339,28149.51182161141
"{'order': (1, 0, 1), 'seasonal_order': (0, 0, 1, 12)}",28127.945065051652,28154.212416965074
"{'order': (2, 0, 0), 'seasonal_order': (2, 0, 1, 12)}",28119.761259560717,28156.475850385075
"{'order': (1, 0, 1), 'seasonal_order': (1, 0, 1, 12)}",28129.402228083552,28160.92305037966
"{'order': (2, 0, 1), 'seasonal_order': (0, 0, 1, 12)}",28129.86358488339,28161.3844071795
"{'order': (2, 0, 1), 'seasonal_order': (1, 0, 0, 12)}",28129.92154939051,28161.44237168662
"{'order': (2, 0, 0), 'seasonal_order': (2, 0, 2, 12)}",28121.922674824298,28163.882207194994
"{'order': (2, 0, 1), 'seasonal_order': (1, 0, 1, 12)}",28131.31583362294,28168.09012630173
"{'order': (2, 0, 0), 'seasonal_order': (0, 0, 2, 12)}",28137.401357240877,28168.875287646442
"{'order': (1, 0, 1), 'seasonal_order': (1, 0, 0, 12)}",28147.344780984342,28173.615670216626
"{'order': (2, 0, 0), 'seasonal_order': (1, 0, 2, 12)}",28139.131089850936,28175.850675324098
"{'order': (0, 1, 2), 'seasonal_order': (0, 0, 0, 12)}",28191.94734315493,28212.98943354729
"{'order': (2, 1, 0), 'seasonal_order': (1, 0, 0, 12)}",28188.512256754588,28214.776068844854
"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 0, 12)}",28193.71785797821,28220.02047096866
"{'order': (2, 1, 0), 'seasonal_order': (1, 0, 1, 12)}",28189.01186497799,28220.52843948631
"{'order': (2, 1, 2), 'seasonal_order': (0, 0, 0, 12)}",28192.77561767034,28224.33875325888
"{'order': (0, 1, 1), 'seasonal_order': (0, 0, 0, 12)}",28212.576456261595,28228.36013153751
"{'order': (2, 1, 0), 'seasonal_order': (0, 0, 1, 12)}",28208.800629623336,28235.06798153676
"{'order': (1, 1, 1), 'seasonal_order': (0, 0, 0, 12)}",28214.42065191218,28235.465552280068
"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 12)}",28214.436447873686,28240.742573333544
"{'order': (2, 0, 2), 'seasonal_order': (0, 0, 2, 12)}",28215.230213042614,28257.18403316744
"{'order': (2, 0, 2), 'seasonal_order': (1, 0, 2, 12)}",28219.712345212283,28266.910392852715
"{'order': (2, 0, 2), 'seasonal_order': (2, 0, 0, 12)}",28235.713928859404,28277.6734612301
"{'order': (2, 0, 2), 'seasonal_order': (2, 0, 1, 12)}",28239.202457343716,28286.40693126075
"{'order': (1, 0, 0), 'seasonal_order': (1, 0, 2, 12)}",28277.435718619447,28308.909649025012
"{'order': (1, 0, 0), 'seasonal_order': (2, 0, 1, 12)}",28277.505636507885,28308.97956691345
"{'order': (1, 0, 0), 'seasonal_order': (2, 0, 2, 12)}",28277.432750099724,28314.152335572886
"{'order': (1, 0, 2), 'seasonal_order': (0, 0, 0, 12)}",28307.285200011684,28333.59132547154
"{'order': (1, 1, 0), 'seasonal_order': (0, 0, 1, 12)}",28321.541277022516,28342.555158553252
"{'order': (1, 1, 0), 'seasonal_order': (1, 0, 0, 12)}",28321.62339584467,28342.637277375405
"{'order': (1, 1, 0), 'seasonal_order': (1, 0, 1, 12)}",28323.237493599547,28349.50484551297
"{'order': (0, 0, 0), 'seasonal_order': (1, 0, 2, 12)}",28352.371816287472,28378.600091625445
"{'order': (0, 0, 0), 'seasonal_order': (2, 0, 2, 12)}",28348.003254175608,28379.477184581174
"{'order': (1, 0, 1), 'seasonal_order': (0, 0, 0, 12)}",28363.041293407507,28384.089001778317
"{'order': (2, 0, 0), 'seasonal_order': (1, 0, 0, 12)}",28359.619765124513,28385.887117037935
"{'order': (2, 0, 1), 'seasonal_order': (0, 0, 0, 12)}",28364.941962509256,28391.25159797277
"{'order': (2, 0, 0), 'seasonal_order': (1, 0, 1, 12)}",28361.10014757802,28392.62096987413
"{'order': (0, 0, 0), 'seasonal_order': (2, 0, 1, 12)}",28366.92931905242,28393.16115945293
"{'order': (0, 0, 2), 'seasonal_order': (1, 0, 2, 12)}",28361.220223231838,28397.92981584106
"{'order': (0, 0, 2), 'seasonal_order': (2, 0, 2, 12)}",28361.381721717742,28403.335541842567
"{'order': (2, 0, 0), 'seasonal_order': (0, 0, 1, 12)}",28379.06747164662,28405.338360878904
"{'order': (0, 0, 1), 'seasonal_order': (1, 0, 2, 12)}",28396.83810013102,28428.30774940904
"{'order': (1, 0, 0), 'seasonal_order': (2, 0, 0, 12)}",28406.541373836666,28432.76964917464
"{'order': (0, 0, 1), 'seasonal_order': (2, 0, 2, 12)}",28396.606352449016,28433.320943273375
"{'order': (2, 1, 0), 'seasonal_order': (0, 0, 0, 12)}",28420.828047463307,28441.872947831194
"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 2, 12)}",28419.279928709046,28445.50820404702
"{'order': (0, 1, 0), 'seasonal_order': (0, 0, 2, 12)}",28425.43385798075,28446.4136241661
"{'order': (0, 1, 0), 'seasonal_order': (1, 0, 2, 12)}",28427.426470121554,28453.65117785324
"{'order': (0, 0, 2), 'seasonal_order': (2, 0, 1, 12)}",28420.681727258037,28457.406303818756
"{'order': (0, 1, 0), 'seasonal_order': (2, 0, 2, 12)}",28429.419957303813,28460.889606581834
"{'order': (0, 1, 0), 'seasonal_order': (2, 0, 0, 12)}",28445.276981848798,28466.259602119175
"{'order': (0, 0, 1), 'seasonal_order': (2, 0, 1, 12)}",28436.850906321244,28468.329114801858
"{'order': (0, 1, 0), 'seasonal_order': (2, 0, 1, 12)}",28447.28944132432,28473.517716662293
"{'order': (2, 0, 2), 'seasonal_order': (1, 0, 1, 12)}",28443.07464900481,28485.09674834924
"{'order': (2, 0, 2), 'seasonal_order': (0, 0, 1, 12)}",28454.083017818706,28490.85235474508
"{'order': (2, 0, 2), 'seasonal_order': (1, 0, 0, 12)}",28474.477607203382,28511.251899882172
"{'order': (0, 0, 0), 'seasonal_order': (2, 0, 0, 12)}",28528.089746575446,28549.075218895858
"{'order': (1, 0, 0), 'seasonal_order': (1, 0, 1, 12)}",28522.90818629968,28549.179075531963
"{'order': (0, 0, 2), 'seasonal_order': (2, 0, 0, 12)}",28518.029370903263,28549.507579383877
"{'order': (0, 0, 1), 'seasonal_order': (2, 0, 0, 12)}",28537.542156392818,28563.77399679333
"{'order': (2, 0, 0), 'seasonal_order': (0, 0, 0, 12)}",28543.070863764988,28564.118572135798
"{'order': (1, 1, 0), 'seasonal_order': (0, 0, 0, 12)}",28556.161748898958,28571.947530177065
"{'order': (0, 0, 2), 'seasonal_order': (0, 0, 2, 12)}",28558.714098198103,28590.179463291723
"{'order': (0, 0, 0), 'seasonal_order': (1, 0, 1, 12)}",28607.329706648263,28628.34641803409
"{'order': (0, 0, 2), 'seasonal_order': (1, 0, 1, 12)}",28605.04648720938,28636.563061717698
"{'order': (0, 0, 1), 'seasonal_order': (0, 0, 2, 12)}",28635.53313794209,28661.757845673776
"{'order': (0, 0, 1), 'seasonal_order': (1, 0, 1, 12)}",28644.829699214883,28671.097051128305
"{'order': (1, 0, 0), 'seasonal_order': (1, 0, 0, 12)}",28668.360924699344,28689.37763608517
"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 1, 12)}",28668.464913616564,28689.48162500239
