base,exogena,disponibilidade,coeficiente,sinal,erro_padrao,p_valor,significativa
delhi_temperatura,humidity_lag_7,defasada,0.0018145886066097945,positivo,0.005933560257078634,0.7597433412304905,False
delhi_temperatura,wind_speed_lag_7,defasada,0.006021297398846794,positivo,0.011669684779683498,0.6058699671653611,False
delhi_temperatura,meanpressure_lag_7,defasada,0.013582604612348876,positivo,0.0265284681142552,0.6086502461349144,False
pilgrims_close,Low_lag_5,defasada,-0.0196529520184286,negativo,0.008705284139039138,0.023971307238592098,True
pilgrims_close,Volume_lag_5,defasada,-5.90465773287773e-09,negativo,4.450106100973472e-09,0.18455574536364572,False
microsoft_open,close_lag_1,conhecida,1.0006358238668132,positivo,0.0005151852550678064,0.0,True
microsoft_open,volume_lag_1,conhecida,6.398286006508582e-10,positivo,1.1532590794211653e-09,0.5790311922835751,False
sales_profit,transaction_count_lag_7,defasada,-26.78156071209484,negativo,6.744727205648184,7.164962171607975e-05,True
brasil_vitorias,matches_played_lag_1,defasada,-0.39180313675441314,negativo,0.19085579787191562,0.04008468153894942,True
brasil_vitorias,friendly_matches_lag_1,defasada,0.1035928397689684,positivo,0.21257058402595122,0.626021767669712,False
