base,fase,inicio,fim,pontos,variacao,variacao_pct
delhi_temperatura,alta,2013-01-24,2013-05-26,123,19.81,143.4
delhi_temperatura,queda,2013-06-06,2013-08-06,62,-3.76,-11.2
delhi_temperatura,queda,2013-09-06,2014-01-08,125,-16.74,-55.6
delhi_temperatura,alta,2014-01-19,2014-06-12,145,20.18,145.8
delhi_temperatura,queda,2014-06-23,2015-01-08,200,-21.32,-63.0
delhi_temperatura,alta,2015-01-13,2015-05-29,137,20.91,165.8
delhi_temperatura,queda,2015-06-09,2015-07-29,51,-3.33,-10.0
delhi_temperatura,queda,2015-09-07,2015-12-18,103,-16.05,-51.6
pilgrims_close,estavel,1990-05-23,1995-05-11,1257,0.05,1.7
pilgrims_close,alta,1996-06-25,1998-12-07,620,6.06,194.8
pilgrims_close,queda,1999-01-25,2000-04-24,316,-4.14,-47.0
pilgrims_close,alta,2000-08-09,2001-11-23,323,4.09,92.5
pilgrims_close,alta,2003-02-18,2005-05-11,563,17.81,362.9
pilgrims_close,queda,2007-06-22,2009-04-02,449,-21.67,-94.2
pilgrims_close,alta,2012-03-29,2014-07-15,576,13.38,306.6
microsoft_open,queda,2015-06-12,2015-08-28,55,-1.65,-3.6
microsoft_open,alta,2015-09-09,2015-12-10,66,10.45,23.6
microsoft_open,alta,2016-06-06,2018-09-21,580,59.33,116.0
microsoft_open,queda,2018-10-02,2019-01-02,63,-4.63,-4.2
microsoft_open,alta,2019-01-09,2019-05-15,88,20.07,19.0
sales_profit,estavel,2011-01-01,2011-03-14,73,1337.93,21.8
sales_profit,estavel,2013-01-29,2013-06-02,125,1730.59,37.2
sales_profit,alta,2013-06-03,2013-09-23,113,21001.02,329.6
sales_profit,alta,2014-03-20,2014-05-27,69,8752.21,33.2
sales_profit,queda,2014-05-30,2014-08-31,94,-34823.59,-99.9
sales_profit,estavel,2014-09-01,2014-11-27,88,-21.41,-99.9
brasil_vitorias,alta,1916-01-01,1921-01-01,6,0.84,82.9
brasil_vitorias,queda,1923-01-01,1927-01-01,5,-1.27,-76.7
brasil_vitorias,alta,1928-01-01,1930-01-01,3,0.54,110.7
brasil_vitorias,alta,1935-01-01,1939-01-01,5,1.22,158.9
brasil_vitorias,alta,1942-01-01,1950-01-01,9,1.73,80.7
brasil_vitorias,alta,1953-01-01,1962-01-01,10,6.41,171.4
brasil_vitorias,queda,1963-01-01,1967-01-01,5,-3.24,-34.2
brasil_vitorias,queda,1971-01-01,1974-01-01,4,-0.5,-7.5
brasil_vitorias,alta,1977-01-01,1980-01-01,4,1.42,22.7
brasil_vitorias,queda,1981-01-01,1984-01-01,4,-1.72,-22.5
brasil_vitorias,alta,1985-01-01,1988-01-01,4,2.4,39.6
