base,modelo,n,lags,vies,desvio,lb_stat,p_valor,ruido_branco
brasil_vitorias,Holt-Winters,33,6,0.1332,3.5868,7.4793,0.2788,sim
brasil_vitorias,PLS,33,6,0.9837,3.5089,7.9534,0.2415,sim
brasil_vitorias,Random Forest,33,6,1.1652,3.8342,8.6294,0.1955,sim
brasil_vitorias,SARIMAX,33,6,0.1224,3.5949,15.8034,0.0148,nao
delhi_temperatura,Holt-Winters,469,10,0.0015,2.5029,293.9065,0.0,nao
delhi_temperatura,PLS,469,10,-2.1132,56.4191,0.1146,1.0,sim
delhi_temperatura,Random Forest,469,10,0.9529,2.3153,425.4814,0.0,nao
delhi_temperatura,SARIMAX,469,10,-0.0898,5.066,6.5,0.7717,sim
microsoft_open,Holt-Winters,453,10,0.2228,3.5288,16.7441,0.0802,sim
microsoft_open,PLS,453,10,-0.0115,2.5974,26.3032,0.0034,nao
microsoft_open,Random Forest,453,10,0.604,3.3702,109.4157,0.0,nao
microsoft_open,SARIMAX,453,10,0.2228,3.5288,16.7441,0.0802,sim
pilgrims_close,Holt-Winters,2925,10,-0.0083,0.8863,1832.7135,0.0,nao
pilgrims_close,PLS,2925,10,0.0345,1.1671,3700.5959,0.0,nao
pilgrims_close,Random Forest,2925,10,0.0455,1.1982,5714.0988,0.0,nao
pilgrims_close,SARIMAX,2925,10,-0.0083,0.8863,1832.7135,0.0,nao
sales_profit,Holt-Winters,609,10,159.4679,8473.0907,116.1968,0.0,nao
sales_profit,PLS,609,10,502.4141,8781.6487,340.2983,0.0,nao
sales_profit,Random Forest,609,10,1689.2522,7962.8797,128.5263,0.0,nao
sales_profit,SARIMAX,609,10,187.5817,8527.9762,143.6492,0.0,nao
